Time,Chan1,Chan2,Trial,LED_State
23525448,0,0,266,0
23525916,0,2,266,0
23526388,0,2,266,0
23526860,0,7,266,0
23527332,0,2,266,0
23527804,0,2,266,0
23528276,0,6,266,0
23528748,0,2,266,0
23529220,0,2,266,0
23529696,0,6,266,0
23530172,0,0,266,0
23530648,0,0,266,0
23531116,0,0,266,0
23531592,0,0,266,0
23532060,0,2,266,0
23532532,0,7,266,0
23533004,0,2,266,0
23533476,0,2,266,0
23533948,0,6,266,0
23534420,0,2,266,0
23534892,0,2,266,0
23535364,0,0,266,0
23535840,0,2,266,0
23536316,0,2,266,0
23536792,0,0,266,0
23537260,0,0,266,0
23537736,0,0,266,0
23538204,0,0,266,0
23538676,0,2,266,0
23539148,0,2,266,0
23539620,0,6,266,0
23540092,0,0,266,0
23540564,0,0,266,0
23541036,0,2,266,0
23541508,0,2,266,0
23541984,0,3,266,0
23542460,0,2,266,0
23542936,0,2,266,0
23543404,0,6,266,0
23543880,0,2,266,0
23544348,0,0,266,0
23544820,0,0,266,0
23545292,0,0,266,0
23545764,0,2,266,0
23546236,0,0,266,0
23546708,0,2,266,0
23547180,0,2,266,0
23547652,0,7,266,0
23548128,0,2,266,0
23548604,0,2,266,0
23549080,0,6,266,0
23549548,0,2,266,0
23550024,0,2,266,0
23550492,0,6,266,0
23550964,0,0,266,0
23551436,0,0,266,0
23551908,0,0,266,0
23552380,0,0,266,0
23552852,0,2,266,0
23553324,0,7,266,0
23553796,0,2,266,0
23554272,0,2,266,0
23554748,0,6,266,0
23555228,0,2,266,0
23555700,0,2,266,0
23556176,0,0,266,0
23556644,0,2,266,0
23557116,0,2,266,0
23557588,0,0,266,0
23558060,0,0,266,0
23558532,0,0,266,0
23559004,0,0,266,0
23559476,0,2,266,0
23559948,0,2,266,0
23560424,0,6,266,0
23560900,0,0,266,0
23561376,0,0,266,0
23561844,0,2,266,0
23562320,0,2,266,0
23562788,0,0,266,0
23563256,0,2,266,0
23563732,0,2,266,0
23564204,0,6,266,0
23564676,0,2,266,0
23565148,0,0,266,0
23565620,0,0,266,0
23566092,0,0,266,0
23566568,0,2,266,0
23567044,0,0,266,0
23567520,0,2,266,0
23567988,0,2,266,0
23568464,0,7,266,0
23568932,0,2,266,0
23569404,0,2,266,0
23569876,0,7,266,0
23570348,0,2,266,0
23570820,0,2,266,0
23571292,0,6,266,0
23571764,0,0,266,0
23572236,0,0,266,0
23572712,0,0,266,0
23573188,0,0,266,0
23573664,0,2,266,0
23574132,0,7,266,0
23574608,0,2,266,0
23575076,0,2,266,0
23575548,0,6,266,0
23576020,0,0,266,0
23576492,0,2,266,0
23576964,0,2,266,0
23577436,0,2,266,0
23577908,0,2,266,0
23578380,0,0,266,0
23578856,0,0,266,0
23579332,0,0,266,0
23579808,0,0,266,0
23580276,0,2,266,0
23580752,0,2,266,0
23581220,0,6,266,0
23581692,0,0,266,0
23582164,0,0,266,0
23582636,0,2,266,0
23583108,0,2,266,0
23583580,0,0,266,0
23584052,0,2,266,0
23584524,0,2,266,0
23585000,0,6,266,0
23585476,0,2,266,0
23585952,0,0,266,0
23586420,0,0,266,0
23586896,0,0,266,0
23587364,0,2,266,0
23587836,0,0,266,0
23588308,0,2,266,0
23588780,0,2,266,0
23589248,0,7,266,0
23589724,0,2,266,0
23590196,0,2,266,0
23590668,0,6,266,0
23591144,0,2,266,0
23591620,0,2,266,0
23592096,0,6,266,0
23592564,0,0,266,0
23593040,0,0,266,0
23593508,0,0,266,0
23593980,0,0,266,0
23594452,0,2,266,0
23594924,0,7,266,0
23595396,0,2,266,0
23595868,0,2,266,0
23596340,0,6,266,0
23596812,0,0,266,0
23597288,0,2,266,0
23597764,0,4,266,0
23598240,0,2,266,0
23598708,0,2,266,0
23599184,0,0,266,0
23599652,0,0,266,0
23600124,0,0,266,0
23600596,0,0,266,0
23601068,0,1,266,0
23601540,0,2,266,0
23602012,0,6,266,0
23602484,0,0,266,0
